login,password,firstName,lastName,address1,address2,pass1,pass2,pass3,creditCard,expDate
oboi59,1234,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
misha,misha,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
masha,pasha,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
orange,orange,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
papaya,papaya,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
gleb,gleb,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
jack,jack,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
vova,vova,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
danya,danya,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123
petr,petr,sasha,parshukov,mira,33,sasha parshukov,ivan Parshukov,Oleg Parshukov,123456,123


